"storenum","lat","long","year","new","state","population"
1011,32.274322,-81.225961,1990,0,"GA",6512602
1011,32.274322,-81.225961,1995,0,"GA",7328413
1011,32.274322,-81.225961,2000,0,"GA",8230161
1011,32.274322,-81.225961,2005,0,"GA",9097428
1012,43.486813,-88.809584,1990,0,"WI",4904562
1012,43.486813,-88.809584,1995,0,"WI",5184836
1012,43.486813,-88.809584,2000,0,"WI",5374254
1012,43.486813,-88.809584,2005,0,"WI",5541443
1013,39.656217,-87.431042,1990,0,"IN",5557798
1013,39.656217,-87.431042,1995,0,"IN",5851459
1013,39.656217,-87.431042,2000,0,"IN",6091649
1013,39.656217,-87.431042,2005,0,"IN",6253120
1014,39.0459016,-94.3647115,1990,0,"MO",5128880
1014,39.0459016,-94.3647115,1995,0,"MO",5378247
1014,39.0459016,-94.3647115,2000,0,"MO",5606065
1014,39.0459016,-94.3647115,2005,0,"MO",5806639
1015,31.836163,-106.565288,1990,0,"TX",17056755
1015,31.836163,-106.565288,1995,0,"TX",18958751
1015,31.836163,-106.565288,2000,0,"TX",20945963
1015,31.836163,-106.565288,2005,0,"TX",22801920
1016,29.8093664,-90.8179359,1990,0,"LA",4221532
